message,label
"Dear user, your account has been compromised. Click here to secure it.",phishing
"Reminder: Your electricity bill is due tomorrow.",safe
"Congratulations! You've won a free iPhone. Click  link to claim now.",phishing
"Team meeting rescheduled to 2 PM. Please confirm attendance.",safe
"Verify your identity immediately or your account will be suspended.",phishing
"Monthly performance review attached. Let me know your thoughts.",safe
"https://techsky-eh.github.io/tech-sky-phishing-demo/",phishing
"https://3mtt.academy.darey.io/", safe
"URGENT: Your bank account has been locked. Confirm your details now.",phishing
"Don't forget to bring snacks for the office party!",safe
"You’ve been selected for a $1000 gift card. Click here.",phishing
"Invoice for last month’s service is attached.",safe
"receipts, invoices, newsletters, or meeting invites.",safe
"Unusual login detected. Reset your password immediately.",phishing
"Mom's birthday dinner is at 7 PM. See you there!",safe
"Amazon account alert: Payment failed. Update now.",phishing
"Project kickoff meeting moved to Thursday.",safe
"Win a new MacBook Pro by entering this contest!",phishing
"Join the health & wellness webinar at 10 AM tomorrow.",safe
"Confirm your PayPal login to avoid account restrictions.",phishing
"Weather looks clear for our beach outing this weekend!",safe
"Reactivate your account now to keep your data.",phishing
"Final rour travel expenses.eminder: Submit y",safe
"Get rich quick! Crypto scheme pays double in 48 hours.",phishing
"Can you review the report by EOD?",safe
"Click here to claim your $500 bonus now!",phishing
"Friendly reminder: Book club is tonight at 6.",safe
"Action needed: Secure your mailbox now!",phishing
"Let's schedule your performance appraisal for next week.",safe
"Your Netflix account has been suspended. Click to fix it.",phishing
"Thanks for attending the webinar today!",safe
"Reset your credentials now to avoid being locked out.",phishing
"Weekly groceries list updated — please review.",safe
"You've been hacked! Click here to download  antivirus tool.",phishing
"Submit your leave request before Friday.",safe
"WARNING: Your SIM card will be deactivated. Update info.",phishing
"Looking forward to our coffee chat tomorrow!",safe
"Claim your prize! You're  lucky winner.",phishing
"Meeting notes from today are attached.",safe
"Update your account security settings immediately.",phishing
"Company lunch is scheduled for Thursday.",safe
"Security alert: Account breach attempt detected.",phishing
"Here's the agenda for tomorrow's board meeting.",safe
"Exclusive offer! Free iPhone for first 100 responders.",phishing
"Happy anniversary! We’re grateful for your support.",safe
"Immediate action required: Identity confirmation needed.",phishing
"Catch up session at 5 PM on Zoom — link below.",safe
"Redeem your free gift before it expires!",phishing
"Reminder: Submit timesheet by 4 PM today.",safe
"Complete this quick survey and get a reward.",phishing
"Friday team bonding event at the park. Don’t miss it!",safe
"Secure your crypto wallet before midnight!",phishing
"Good luck on your exam tomorrow!",safe
"Update your Apple ID to avoid service interruption.",phishing
"Your resume has been shortlisted. Interview at 11 AM.",safe
"Verify billing info to avoid account termination.",phishing
"Welcome to  photography course! Class starts Monday.",safe
"Your insurance will expire unless you act now.",phishing
"Meeting venue changed to Hall B.",safe
"Congratulations! You qualify for a home loan rebate.",phishing
"Potluck lunch this Friday – bring your favorite dish!",safe
"System update required. Click here to download.",phishing
"Team performance has improved this quarter!",safe
"Reset your Gmail now to continue receiving emails.",phishing
"Schedule a call with the design team this afternoon.",safe
"Your reward is waiting! Claim within 24 hours.",phishing
"Thanks for your excellent customer support.",safe
"WARNING: A virus has been detected on your device.",phishing
"Looking forward to next week’s town hall!",safe
"Final notice: Your account will be suspended.",phishing
"Quarterly budget meeting is on Thursday.",safe
"Confirm your tax return details immediately.",phishing
"Congrats on your promotion!",safe
"You have 1 unread message from your bank.",phishing
"Workshop registration closes tomorrow.",safe
"One-time password expires in 5 minutes. Act now.",phishing
"Monthly newsletter is now live.",safe
"Your mobile service will be deactivated. Click now!",phishing
"Here are the minutes from yesterday’s meeting.",safe
"Reset your Office365 login now!",phishing
"Training materials are available for download.",safe
"Unclaimed funds detected in your name.",phishing
"Birthday wishes to our amazing colleague!",safe
"Your social media account has been reported. Confirm to appeal.",phishing
"New course starts on Monday. Check your schedule.",safe
"IMPORTANT: Secure your student portal login.",phishing
"Project deadline is extended to next week.",safe
"Payment pending. Avoid penalties by clicking here.",phishing
"See you at the tech conference tomorrow!",safe
"Bank alert: Suspicious ATM withdrawal. Click for details.",phishing
"Can you join the Zoom session at 3 PM?",safe
"You’ve won tickets to  World Cup! Confirm now.",phishing
"HR wants feedback on the new policy.",safe
"Recover lost files now by clicking this link.",phishing
"Reminder: Team photo session next Tuesday.",safe
"Suspicious device logged into your account.",phishing
"Thanks for your submission!",safe
"Claim your airline refund within 2 days.",phishing
"Let's finalize the event plan today.",safe
"Lottery winner notification: Claim now.",phishing
"Quick reminder to log your hours for the week.",safe
"Password expires in 24 hours. Reset now.",phishing
"Welcome to the team! Orientation is next week.",safe
